INFO  - [SOLR] - 2018-03-12 23:13:56.153; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - [SOLR] - 2018-03-12 23:13:56.174; org.apache.solr.core.SolrResourceLoader; Using JNDI solr.home: /home/dothr/app/solr-4.3.0/example/solr
INFO  - [SOLR] - 2018-03-12 23:13:56.189; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /home/dothr/app/solr-4.3.0/example/solr/solr.xml
INFO  - [SOLR] - 2018-03-12 23:13:56.192; org.apache.solr.core.CoreContainer; New CoreContainer 1371589849
INFO  - [SOLR] - 2018-03-12 23:13:56.202; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: '/home/dothr/app/solr-4.3.0/example/solr/'
INFO  - [SOLR] - 2018-03-12 23:13:56.202; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/dothr/app/solr-4.3.0/example/solr/'
INFO  - [SOLR] - 2018-03-12 23:13:56.758; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - [SOLR] - 2018-03-12 23:13:56.759; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - [SOLR] - 2018-03-12 23:13:56.759; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - [SOLR] - 2018-03-12 23:13:56.760; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - [SOLR] - 2018-03-12 23:13:56.760; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - [SOLR] - 2018-03-12 23:13:56.760; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - [SOLR] - 2018-03-12 23:13:56.760; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - [SOLR] - 2018-03-12 23:13:56.761; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - [SOLR] - 2018-03-12 23:13:56.761; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - [SOLR] - 2018-03-12 23:13:56.799; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - [SOLR] - 2018-03-12 23:13:57.086; org.apache.solr.core.CoreContainer; Registering Log Listener
INFO  - [SOLR] - 2018-03-12 23:13:57.102; org.apache.solr.core.CoreContainer; Creating SolrCore 'core' using instanceDir: /home/dothr/app/solr-4.3.0/example/solr/core
INFO  - [SOLR] - 2018-03-12 23:13:57.106; org.apache.solr.core.CoreContainer; Creating SolrCore 'coreModel' using instanceDir: /home/dothr/app/solr-4.3.0/example/solr/coreModel
INFO  - [SOLR] - 2018-03-12 23:13:57.119; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/dothr/app/solr-4.3.0/example/solr/core/'
INFO  - [SOLR] - 2018-03-12 23:13:57.122; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/example/solr/core/lib/numberFilterTce.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.122; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/example/solr/core/lib/emailFilterTce.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.123; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/example/solr/core/lib/classifierTce.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.123; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/example/solr/core/lib/similarityTce.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.124; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/example/solr/core/lib/urllFilterTce.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.130; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/dothr/app/solr-4.3.0/example/solr/coreModel/'
INFO  - [SOLR] - 2018-03-12 23:13:57.238; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - [SOLR] - 2018-03-12 23:13:57.250; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - [SOLR] - 2018-03-12 23:13:57.257; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/tika-parsers-1.3.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.258; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.258; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/fontbox-1.7.1.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.258; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/tika-parsers-1.3.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.258; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/poi-3.8.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.258; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.259; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.259; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/fontbox-1.7.1.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.259; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.259; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/poi-3.8.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.260; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - [SOLR] - 2018-03-12 23:13:57.260; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dothr/app/solr-4.3.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
